track_id,name,artist,label,genre,bpm,key,confidence_score,is_outlier,outlier_reasons,rules_matched,rules_failed
253142465,Hypnophobia (Original Mix) ,Whitesquare,Visual Distortions,Indie Dance,124.0,Ebm,15.0,yes,low_confidence; bpm_outside_p10_p90; singleton_genre_in_flow,artist_in_flow_corpus,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15
38450969,Hauz Muzik (Original Mix),Satoshi Tomiie,Phonogramme,House,122.0,Ebm,40.0,yes,low_confidence; bpm_outside_p10_p90,genre_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8; label_in_top15
201043052,Over Me (Whiplash presents New York Slick) (Londonary Mix),"Whiplash, New York Slick",Groovilicious,Classic House,125.0,Bm,45.0,yes,low_confidence; singleton_genre_in_flow,bpm_within_p10_p90; artist_in_flow_corpus,genre_in_top8; key_in_top8; label_in_top15
117687923,No Breaks All Fun (Retromigration Remix),Baka G,SEVEN,House,134.0,Dbm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
71884365,Fearless (Original Mix),BLANKA (ES),Room Trax,Minimal / Deep Tech,124.0,Em,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
147485219,The Feeling That Brought You Here (Confidential Recipe Remix),Ackermann,Safe Space,Deep House,138.0,Bbm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
221003535,Computer Jazz (Original Mix),Soul of Hex,km 4.5,House,123.0,Fm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
268196744,Got Me Down (Extended Mix),S.A.M.,Up the Stuss,Deep House,135.0,Abm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
118009084,Take 5 (Original Mix),YNNY,SEVEN,Deep House,136.0,Ebm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
136011674,Feel (Original Mix),DJ Steaw,META,Tech House,124.0,Am,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
141215589,Grooves & Tools (Sub Series Tool 007) (Sub Series Tool 007),Subb-an,Sub Series,Techno (Raw  Deep  Hypnotic),131.0,Dm,60.0,yes,singleton_genre_in_flow,bpm_within_p10_p90; key_in_top8; artist_in_flow_corpus,genre_in_top8; label_in_top15
264199119,Power Twice (Original Mix),Soul of Hex,Faith Beat,House,123.0,Am,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
262081718,Outbreak (Original Mix),Paolo Macrì,Rutilance Recordings,Deep House,124.0,F#m,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
